country_code,country_name,year,month,temperature
LV,Latvia,2015,11,4.157538038492202
LV,Latvia,2015,12,2.5317743868837437
LV,Latvia,2016,1,-7.81959521001385
LV,Latvia,2016,2,1.015942638932631
LV,Latvia,2016,3,0.8588905666143661
LV,Latvia,2016,4,6.284538420041402
LV,Latvia,2016,5,14.02197370221538
LV,Latvia,2016,6,16.308768431345623
LV,Latvia,2016,7,18.032653500956872
LV,Latvia,2016,8,16.43167148097869
LV,Latvia,2016,9,12.899492613474528
LV,Latvia,2016,10,4.48363244918085
LV,Latvia,2016,11,0.27709636067350685
LV,Latvia,2016,12,0.4863214264473604
LV,Latvia,2017,1,-3.259317105816256
LV,Latvia,2017,2,-2.5929637597873807
LV,Latvia,2017,3,2.0845549207541247
LV,Latvia,2017,4,4.077764381965002
LV,Latvia,2017,5,10.792394403488407
LV,Latvia,2017,6,14.107072257995606
LV,Latvia,2017,7,15.941653590048514
LV,Latvia,2017,8,16.608717733813872
LV,Latvia,2017,9,12.602046744028726
LV,Latvia,2017,10,6.194059620340985
LV,Latvia,2017,11,3.125354034701983
LV,Latvia,2017,12,0.8234041660062728
LV,Latvia,2018,1,-1.8565449597944892
LV,Latvia,2018,2,-7.330199270542446
LV,Latvia,2018,3,-2.583306905002364
LV,Latvia,2018,4,8.124991683165232
LV,Latvia,2018,5,15.479817082805017
LV,Latvia,2018,6,15.903054587046306
LV,Latvia,2018,7,19.824232286022557
LV,Latvia,2018,8,18.504580774614887
LV,Latvia,2018,9,14.369864686330159
LV,Latvia,2018,10,7.849602123902689
LV,Latvia,2018,11,2.4787331906457726
LV,Latvia,2018,12,-1.4939451324603246
LV,Latvia,2019,1,-4.403407312208606
LV,Latvia,2019,2,0.5230560318699904
LV,Latvia,2019,3,2.1592840504261748
LV,Latvia,2019,4,7.897413237889607
LV,Latvia,2019,5,11.911284292897871
LV,Latvia,2019,6,18.78077923456828
LV,Latvia,2019,7,16.067816365149714
LV,Latvia,2019,8,16.686268037365327
LV,Latvia,2019,9,12.085968891779583
LV,Latvia,2019,10,8.289257833073217
LV,Latvia,2019,11,3.8561365298926833
LV,Latvia,2019,12,2.326888862156099
LV,Latvia,2020,1,2.7003504162834537
LV,Latvia,2020,2,1.9525532903599327
LV,Latvia,2020,3,2.7234607757099214
LV,Latvia,2020,4,5.540782999992371
LV,Latvia,2020,5,9.608415480582945
LV,Latvia,2020,6,18.32457545598348
LV,Latvia,2020,7,16.405015791616133
LV,Latvia,2020,8,17.042915590347782
LV,Latvia,2020,9,14.226276365915934
LV,Latvia,2020,10,9.595085020988218
LV,Latvia,2020,11,5.025597128955026
LV,Latvia,2020,12,0.030903529736303646
LV,Latvia,2021,1,-3.538095517023917
LV,Latvia,2021,2,-5.8274860871689675
LV,Latvia,2021,3,1.1085756758336853
LV,Latvia,2021,4,5.448342617352804
LV,Latvia,2021,5,10.7105087618674
LV,Latvia,2021,6,19.061051241556804
LV,Latvia,2021,7,21.46303435294859
LV,Latvia,2021,8,15.835040923087828
LV,Latvia,2021,9,10.682380151748657
LV,Latvia,2021,10,7.923218842475645
LV,Latvia,2021,11,3.2460836733380956
LV,Latvia,2021,12,-4.641249014244925
LV,Latvia,2022,1,-1.3075465681331773
LV,Latvia,2022,2,0.1306469850242138
LV,Latvia,2022,3,0.671548748208631
LV,Latvia,2022,4,5.03338959767716
LV,Latvia,2022,5,10.03859761453444
LV,Latvia,2022,6,17.065676148732503
LV,Latvia,2022,7,17.567561149597168
LV,Latvia,2022,8,19.795136390193814
LV,Latvia,2022,9,9.835483646392822
LV,Latvia,2022,10,8.865523830536873
LV,Latvia,2022,11,2.162760872642201
LV,Latvia,2022,12,-3.432278640808598
ME,Montenegro,2015,1,-0.32419583057203555
ME,Montenegro,2015,2,0.18405885435640812
ME,Montenegro,2015,3,2.8637752571413593
ME,Montenegro,2015,4,6.250834720581769
ME,Montenegro,2015,5,13.666449054594963
ME,Montenegro,2015,6,16.128905073801675
ME,Montenegro,2015,7,21.266034526209676
